nro_registro;rubro;establecimiento;domicilio_completo;barrio;comuna;telefono;email;facebook;web;accesibilidad
RL-2018-18305233- -DGCCO;Restaurante;BEBOP CLUB;MORENO 364;MONSERRAT;1;4334-2380 43313409;info@bebopclub.com.ar;https://www.facebook.com/BebopClub/;www.bebopclub.com.ar;
RL-2019-20222420--DGTALET;Restaurante;BIO SOLO ORGÁNICO;HUMBOLDT 2192;PALERMO;14;4774-3880;info@biorestaurant.com.ar;https://www.facebook.com/biosoloorganico/;http://biorestaurant.com.ar/;
RL-2017-21361710-DGCCO;Restaurante;BLONDA;ANDRÉS ARGUIBEL 2822;PALERMO;14;4775-3576;blondacanitas@gmail.com;https://www.facebook.com/BlondaRestaurante/;www.blonda.com.ar;
07-G-2011;Restaurante;BROCCOLINO RISTORANTE ITALIANO;ESMERALDA 776;SAN NICOLAS;1;4322-9848;NO TIENE;NO TIENE;http://www.broccolino.com.ar/;
12/G/2014;Bar Temático / Restaurante Temático;BULLER;PTE. ROBERTO M. ORTIZ 1827;RECOLETA;2;4313-0287;bullerpub@bullerpub.com;NO TIENE;www.bullerpub.com;
03/G/2015;Restaurante;CABAÑA LAS LILAS;ALICIA M. DE JUSTO 516;PUERTO MADERO;1;4313-1336;restaurant@restlaslilas.com.ar;NO TIENE;www.restaurantlaslilas.com.ar;
RL-2019-33366369- -DGTALET;Restaurante / Bar Temático;CAFÉ CORTAZAR;JOSÉ ANTONIO CABRERA 3799;PALERMO;14;4863-2120;baresnotables@gmail.com;https://www.facebook.com/cafecortazar;http://www.cafecortazar.com.ar/;
RL-2017-25034751- -DGCCO;Bar Notable;CAFÉ DE GARCIA;SANABRIA 3302;VILLA DEVOTO;11;4501-5912;NO TIENE;NO TIENE;NO TIENE;
RL-2017-23702268- -DGCCO;Bar Notable;CAFÉ DE LA ESQUINA;AV. DEL LIBERTADOR 6196;BELGRANO;13;4782-903800;cafebardelaesquina@gmail.com;NO TIENE;http://cafedelaesquinabelgrano.blogspot.com.ar/;
05/G/2015;Bar Notable;CAFÉ DE LA U;AV. TRIUNVIRATO 4801;VILLA URQUIZA;12;4521-9076;NO TIENE;NO TIENE;NO TIENE;
RL-2019-33514513- -DGTALET;Bar Notable;LA POESÍA;CHILE 502;SAN TELMO;1;4300-7340;baresnotables@gmail.com;https://www.facebook.com/BaresLosNotables;http://www.losnotables.com.ar/cafe-la-poesia/;
RL-2019-33093794- -DGTALET;Bar Notable;CAFE MARGOT;BOEDO 857;BOEDO;5;4957-0001;baresnotables@gmail.com;https://www.facebook.com/BaresLosNotables;http://www.losnotables.com.ar/cafe-margot/;
15/G/2015;Bar Notable;CAFÉ MAR AZUL;TUCUMÁN 1700;SAN NICOLÁS;1;5811-4347/4374-0307;cafemarazul@yahoo.com.ar;"facebook; cafe mar azul";NO TIENE;
RL-2017-24687205- -DGCCO;Bar Notable;CAFÉ NOSTALGIA BAR;SOLER 3599;PALERMO;14;4963-0903;cafenostalgiabuenosaires@gmail.com;https://www.facebook.com/CAFEBARNOSTALGIA/;NO TIENE;
RL-2017-24685618-DGCCO;Bar Notable;CAFÉ VICTORIA;AV. ENTRE RÍOS 114;MONSERRAT;1;4372-2754;cafevictoriacongreso@gmail.com;NO TIENE;NO TIENE;
RL-2019-23718097- -DGTALET;Restaurante;CAMPOBRAVO;BAEZ 292;PALERMO;14;4514-5820;campobravo@campobravo.com.ar;https://www.facebook.com/campobravo.restaurant/;https://www.campobravo.com.ar;
RL-2019-27625034--DGTALET;Restaurante;CAMPOBRAVO HONDURAS;HONDURAS 5600;PALERMO;14;4576-5460;campobravo@campobravo.com.ar;https://www.facebook.com/campobravo.restaurant/;https://www.campobravo.com.ar;
RL-2017-12046664-DGDYCOF;Bar Notable;CASTELAR HOTEL & SPA;AV. DE MAYO 1152;MONSERRAT;1;4383-5000/9;reservas@castelarhotel.com.ar;NO TIENE;www.castelarhotel.com.ar;
11/G/2014;Restaurante Tangueria;CÁTULO TANGO;ZELAYA 3080;BALVANERA;3;4106-4511;gerencia@catulotango.com;NO TIENE;www.catulotango.com;
RL-2019-33437550- -DGTALET;Bar Notable;CELTA BAR;SARMIENTO 1702;SAN NICOLÁS;1;7371-7338;baresnotables@gmail.com;https://www.facebook.com/BaresLosNotables;http://www.losnotables.com.ar/celta-bar/;
RL-2017-24096639- -DGCCO;Restaurante;CERVECERÍA LÓPEZ;ÁLVAREZ THOMAS 2136;VILLA ORTUZAR;15;4552-0275;cervecerialopez@outlook.com;https://www.facebook.com/cervecerialopez/;http://www.cervecerialopez.com/;
08-G-2011;Restaurante;CHIQUILÍN;MONTEVIDEO 321;SAN NICOLÁS;1;4371-1652;info@chiquin-argentina.com.ar;NO TIENE;http://www.chiquin.com.ar/;
RPT-149-2008;Tanguería;COMPLEJO TANGO;AV. BELGRANO 2608;BALVANERA;3;4941-1119;reservas@complejotango.com.ar;NO TIENE;www.complejotango.com.ar;
RL-2017-24097947- -DGCCO;Bar Notable;CONFITERÍA LONDON CITY;AV. DE MAYO 599;MONSERRAT;1;4342-9057;london@pertuttiresto.com.ar;https://www.facebook.com/Confiter%C3%ADa-London-City-1473803096220394/;NO TIENE;
RL-2017-04148937- -DGDYCOF;Restaurante;DARIO GUALTIERI BISTRO;ARMENIA 1378;PALERMO;14;4773-7790;info@dg-bistro.com.ar;NO TIENE;NO TIENE;
RL-2019-20194795--DGTALET;Restaurante;DELICIOUS;LAPRIDA 2015;RECOLETA;2;4803-1151;deliciouscafebsas@gmail.com;https://www.facebook.com/Deliciouscafebsas/;NO TIENE;
RL-2017-24620129- -DGCCO;Restaurante;DESNIVEL;DEFENSA 855;SAN TELMO;1;4307-2489;NO TIENE;NO TIENE;NO TIENE;
RL-2018-03055516- -DGCCO;Restaurante;DESPACHO DE SABORES;BONPLAND 1617;PALERMO;14;4774-2510;info@despachodesabores.com;NO TIENE;www.despachodesabores.com;
RL-2018-28680744- -DGCCO;Heladería;DIECCI HELADOS;GUALEGUAYCHÚ 3405;VILLA DEVOTO;11;4504-5050;heladosdiecci@gmail.com;https://www.facebook.com/diecci/;http://www.dieccihelados.com.ar/;
RPT-023-2005;Gastronomía;DON CARLOS;BILLINGHURST 450;ALMAGRO;5;4864-5208 / 3162;resdoncarlos@fullzero.com.ar;NO TIENE;http://doncarlos.com.ar/;
14/G/2015;Restaurante;DON ERNESTO;CARLOS CALVO 375;SAN TELMO;1;4307-6927;donernesto2011@gmail.com;https://www.facebook.com/Donernestorestaurant/;NO TIENE;
RL-2017-25878446- -DGCCO;Bar Notable;EL BANDERÍN;GUARDIA VIEJA 3601;ALMAGRO;5;4862-7757;elbanderinbar@gmail.com;https://www.facebook.com/barelbanderin/;elbanderin.com.ar;
RL-2017-23224312- -DGCCO;Gastronomía;EL CHISTE PIZZERÍA;MORENO 467;MONSERRAT;1;4345-5506;pizzeriaelchiste@hotmail.com;https://www.facebook.com/Pizzer%C3%ADa-El-Chiste-127725597286862/;NO TIENE;
RL-2017-22417964- -DGCCO;Gastronomía/Bar Notable;EL GATO NEGRO;AV. CORRIENTES 1669;SAN TELMO;1;4374-1730;gatone@elgatonegronet.com.ar;https://www.facebook.com/elgatonegrocafe/;www.donvictoriano.com.ar;
RL-2019-15959567--DGTALET;Restaurante/Bar Temático;EL GRAN PARAÍSO;GARIBALDI 1428;LA BOCA;4;4302-1752;info@granparaiso.com.ar;https://www.facebook.com/paraisocaminito/;https://granparaiso.com.ar/;
RL-2017-09229387- -DGDYCOF;Restaurante;EL IMPARCIAL;H. YRIGOYEN 1201;MONSERRAT;1;4383-2919/7536;info@elimparcialbsas.com.ar;NO TIENE;www.elimparcialbsas.com.ar;
RPT-095-2005;Gastronomía;EL PALACIO DE LA PAPA FRITA;LAVALLE 735;SAN NICOLÁS;1;4322-9047 / 4393-5849;NO TIENE;NO TIENE;www.elpalacio-papafrita.com.ar;
RPT-121-2005;Gastronomía;EL PALACIO DE LA PAPA FRITA;AV. CORRIENTES 1612;SAN NICOLÁS;1;4374-8063 / 0920;NO TIENE;NO TIENE;www.elpalacio-papafrita.com.ar;
RPT-47-2005;Tanguería;EL QUERANDÍ;PERÚ 302;MONSERRAT;1;5199-1770 / 4345-1770;reservas@querandi.com.ar;NO TIENE;www.querandi.com.ar;
RPT-137-2007;Gastronomía;EL VESUVIO;AV. CORRIENTES 1181;SAN NICOLÁS;1;4382-3735;NO TIENE;NO TIENE;NO TIENE;
RL-2018-13480630- -DGCCO;Tanguería;EL VIEJO ALMACÉN;Av. Independencia 313;SAN TELMO;1;4307-6689 / 7388;info@viejoalmacen.com;https://www.facebook.com/viejoalmacentangoshow/;www.viejoalmacen.com;
RL-2017-07599563- -DGDYCOF;Bar Temático / Restaurante Temático;ERIK BAR;HONDURAS 5098;PALERMO;14;4831-8086;hpantusa@erikbar.com;NO TIENE;www.erikbar.com;
RPT-027-2005;Tanguería;ESQUINA HOMERO MANZI;AV. SAN JUAN 3601;BOEDO;5;4957-8488;info@esquinahomeromanzi.com.ar;NO TIENE;www.esquinahomeromanzi.com.ar;
RL-2018-20131433- -DGCCO;Restaurante;ESTILO CAMPO;ALICIA MOREAU DE JUSTO 1840;PUERTO MADERO;1;4312-4546;info@estilo-campo.com.ar;https://www.facebook.com/RestauranteEstiloCampo/;www.estilo-campo.com.ar;
RL-2017-12733983-DGDYCOF;Restaurante;FIFI ALMACÉN;GORRITI 4812;PALERMO;14;2072-4295;fifialmacen@gmail.com;NO TIENE;http://www.fifialmacen.com.ar;
RPT-33-2005;Restaurante;FILO;SAN MARTÍN 975;RETIRO;1;4311-0312 / 1871;provision@filo-ristorante.com;NO TIENE;www.filo-ristorante.com;
RL-2017-12737456-DGDYCOF;Bar Temático;FULL CITY COFFEE HOUSE;THAMES 1535;PALERMO;14;4833-6774;fullcityba@gmail.com;NO TIENE;www.fullcitycoffeeco.com;
RL-2018-13126887- -DGCCO;Restaurante;FURCHI ARTESANAL HELADOS;CABILDO 1508;COLEGIALES;13;4783-1689;NO TIENE;NO TIENE;NO TIENE;
09-G-2011;Tanguería;GALA TANGO;PASAJE 5 DE JULIO 434;MONSERRAT;1;4334-0777 / 78;info@galatango.com;NO TIENE;http://www.galatango.com/;
RL-2017-26106708- -DGCCO;Restaurante;GRAN PIZZERÍA JOSÉ;AV. SAN MARTÍN 6915;VILLA DEVOTO;11;4501-3887;pizzeria_jose@yahoo.com.ar;https://www.facebook.com/Pizzeria-Jose-Villa-Devoto-411489332263770/;http://www.granpizzeriajose.com/;
RL-2018-30315696- -DGCCO;Restaurante;GOURMAND FOOD HALL;AV. DEL LIBERTADOR 740;RETIRO;1;4813-7530;reservas@gourmandfoodhall.com;https://www.facebook.com/GourmandFoodHall/;www.gourmandfoodhall.com;
06/G/2015;Restaurante;HAPPENING;ALICIA M. DE JUSTO 310;PUERTO MADERO;1;4319-8715;happeningpuerto@gmail.com;NO TIENE;puertomadero.happening.com.ar;
RPT-048-2007;Bar Temático;HARD ROCK CAFÉ BUENOS AIRES;AZCUÉNAGA 2085;RECOLETA;2;4807-7625;ventas@hardrockcafe.com;NO TIENE;www.hardrock.com/buenosaires;
RL-2017-24098516- -DGCCO;Gastronomía;HELADERÍA ITALIA;AV. TRIUNVIRATO 4546;VILLA URQUIZA;12;4521-0857;heladeriaitalia@gmail.com;https://www.facebook.com/heladeriaitaliaurquiza/;http://www.heladeria-italia.com.ar/;
09/G/2015;Restaurante Temático;HOLA JACOBA;THAMES 1801;PALERMO;14;4833-5858;info@holajacoba.com.ar;NO TIENE;www.holajacoba.com.ar;
RL-2019-20194795- -DGTALET;Restaurante;I LATINA;MURILLO 725;VILLA CRESPO;15;4857-9095;restaurante@ilatinabuenosaires.com;https://www.facebook.com/ilatinabue;https://www.ilatinabuenosaires.com/landing;
RPT-084-2005;Bar Temático;LA BIBLIOTECA CAFÉ;MARCELO T. DE ALVEAR 1155;RETIRO;1;4811-0673 / 4541-7533 / 4878-2505;info@labibliotecacafe.com.ar;NO TIENE;www.labibliotecacafe.com.ar;
RPT-069-2005;Bar Notable;LA BIELA;AV. PTE. MANUEL QUINTANA 594;RECOLETA;1;4804-0449 / 4135 / 0432;info@labiela.com;NO TIENE;www.labiela.com;
RL-2019-05375341--DGDTU;Restaurante;LA BUENA PIZZA;AGÜERO 2241 PB;RECOLETA;2;4805-2962;labuenapizzacharleys@gmail.com;https://www.facebook.com/labuenapizzacharleys/;NO TIENE;
07-G-2015;Restaurante;LA CABAÑA;ALICIA M. DE JUSTO 380;PUERTO MADERO;1;4314-3710;info@lacabaña.com.ar;NO TIENE;www.lacabana.com.ar;
12-G-2015;Restaurante;LA CABRERA SUR;J. A. CABRERA 5099;PALERMO;14;4831-7002;info@parrillalacabrera.com.ar;NO TIENE;lacabrera.com.ar;
RL-2017-22419784- -DGCCO;Gastronomía;LA GUITARRITA;CUBA 3300;NUÑEZ;13;4704-0756;pizzeria@laguitarrita.com.ar;https://www.facebook.com/pizzerialaguitarrita/;www.laguitarrita.com.ar;
RL-2017-25892974- -DGCCO;Peña;LA PAILA;COSTA RICA 4848;PALERMO;14;4833-3599;lapaila.asociacion@gmail.com;https://www.facebook.com/LaPailaAsociacionFolklorica/;www.lapaila-restaurante.com.ar;
10-G-2015;Restaurante;LA POSADA DE 1820;TUCUMÁN 501;SAN NICOLÁS;1;4314-4557;laposadade1820@hotmail.com;NO TIENE;www.laposadade1820.com.ar;
02-G-2011;Bar Notable;LA PUERTO RICO;ADOLFO ALSINA 416;MONSERRAT;1;4331-4178 / 2216;mlvazquez@speedy.com.ar;NO TIENE;www.lapuertoricocafe.com.ar;
RPT-100-2005;Restaurante;LA TEKLA;TALCAHUANO 897;RETIRO;1;4815-8646;NO TIENE;NO TIENE;https://www.facebook.com/La-Tekla-173964676036234/;
RPT-046-2005;Tanguería;LA VENTANA;BALCARCE 425;MONSERRAT;1;4331-0217 / 4334-1314/16;info@laventanaweb.com;NO TIENE;www.laventanaweb.com.ar;
RPT-277-2006;Restaurante;LAS NAZARENAS;RECONQUISTA 1132;RETIRO;1;4312-5559/3691;correo@lasnazarenas.com.ar;NO TIENE;www.lasnazarenas.com.ar;
RL-2017-24893136- -DGCCO;Bar Notable;LAS VIOLETAS;AV. RIVADAVIA 3899;ALMAGRO;5;4958-7357;contacto@lasvioletas.com;https://www.facebook.com/lasvioletasconfiteria/;www.lasvioletas.com;
RL-2018-06957986- -DGCCO;Restaurante;LO DE JESÚS;GURRUCHAGA 1406;PALERMO;14;4832-6011;reservas@lodejesus.com.ar;https://www.facebook.com/lodejesus/;www.lodejesus.com.ar;
RPT-10-G-2014;Tanguería;MADERO TANGO;ELVIRA RAWSON DE DELLEPIANE 150;PUERTO MADERO;1;5032-9932 / 3;administracion2@maderotango.com.ar;https://www.facebook.com/maderotango;www.maderotango.com;
03-G-2011;Restaurante;MAGNO BAR & LOUNGE;JOSÉ M. MORENO 318;CABALLITO;6;4902-7026;NO TIENE;NO TIENE;www.magno-bar.com;
RL-2017-27175205- -DGCCO;Restaurante;MANOLO RESTAURANT;COCHABAMBA 501;SAN TELMO;1;4307-8743;info@restaurantmanolo.com.ar; https://www.facebook.com/ManoloenSanTelmo/;www.restaurantmanolo.com.ar;
RL-2018-25703246- -DGCCO;Bar Temático;MARICAFÉ;HONDURAS 4096;PALERMO;14;113982-5878;hola@maricafe.com.ar;https://www.facebook.com/maricafeok/;www.maricafe.com.ar;
RL-2018-28681001--DGCCO;Restaurante;MARY CARMEN PARRILLA GOURMET;BAZURCO 3401;VILLA DEVOTO;11;4571-9488;gastrobacon@gmail.com;https://www.facebook.com/marycarmenrestaurante/;NO TIENE;
RPT-60-2005;Restaurante;MESÓN NAVARRO;LAVALLE 170;SAN NICOLÁS;1;4314-2072;mesonnavarro@uolsinectis.com.ar;NO TIENE;www.mesonavarro.com.ar;
RL-2018-03608580- -DGCCO;Restaurante;MILIÓN;PARANÁ 1048;SAN NICOLÁS;1;4815-9925/9881;milion@fibertel.com.ar;https://www.facebook.com/milionarg/;http://www.milion.com.ar;
RL-2019-33060098- -DGTALET;Bar Notable;MIRAMAR;SAN JUAN 1999;SAN CRISTOBAL;3;4304-4261;rotiseriamiramar@gmail.com;https://www.facebook.com/restaurante.miramar.ar/;no;
RL-2017-20824848- -DGCCO;Gastronomia;OCHO ESQUINAS;AV. FOREST 1186;CHACARITA;15;4554-5129;info@ochoesquinas.com.ar;https://www.facebook.com/barochoesquinas/;ochoesquinas.com.ar;
RL-2018-29620772--DGCCO;Restaurante;PIZZA PIOLA;LIBERTAD 1078;RETIRO;1;4812-0690/4815-4746;buenosaires@piola.it;https://www.facebook.com/PiolaBuenosAires/;www.piola.it;
RPT-80-2005;Restaurante;PIZZA ROMA;LAVALLE 884;SAN NICOLÁS;1;4322-7608 / 4393-3268;NO TIENE;NO TIENE;NO TIENE;
RL-2018-02445783- -DGCCO;Restaurante;PIZZERIA ANGELIN;AV. CÓRDOBA 5270;VILLA CRESPO;15;4774-3836;NO TIENE;https://www.facebook.com/Pizzeria-Angelin-355770644470103/;https://www.facebook.com/Pizzeria-Angelin-355770644470103/;
RPT-139-2008;Restaurante;PORTO PIRATA;MARCELO T. DE ALVEAR 401;RETIRO;1;4314-1233;info@portopirataresto.com.ar;NO TIENE;http://portopirataresto.com.ar/;
RL-2019-15958764--DGTALET;Restaurante;POSADA DE VIRREYES;NAZARRE 6102;VILLA REAL;10;4644-1006 / 4642-7710;;https://www.facebook.com/Posada-de-Virreyes-Do%C3%B1a-Catalina-171566026233991/;NO TIENE;
RL-2018-28680151--DGCCO;Bar Temático;PRIDE CAFÉ;BALCARCE 369;SAN TELMO;1;4300-6435;pridecafe@live.com;https://www.facebook.com/roloaz/;NO TIENE;
RPT-45-2005;Restaurante;PUERTO VIEJO;B. QUINQUELA MARTÍN 718;LA BOCA;4;4301-0090;parrilla.puertoviejo@gmail.com;NO TIENE;https://www.facebook.com/puertoviejo.parrilla/;
RL-2019-20958412-DGTALET;Restaurante;PULPERÍA QUILAPAN;DEFENSA 1344;SAN TELMO;1;4307-6288;info@pulperiaquilapan.com;https://es-la.facebook.com/pulperiaquilapan/;https://pulperiaquilapan.com/;
RL-2017-18849459- -DGCCO;Restaurante;RAÍCES COCINA CASERA CON HISTORIA;CRISÓLOGO LARRALDE 3995;SAAVEDRA;12;4541-4927/3189;info@raicescocinacasera.com.ar;https://www.facebook.com/RaicesCCCH/;http://www.raicescocinacasera.com.ar/;
RL-2017-24752167- -DGCCO;Gastronomia;RESTAURANTE EL PUENTECITO;VIEYTES 1895;BARRACAS;4;4301-1794;bodegonelpuentecito@gmail.com;https://www.facebook.com/EL-PUENTECITO-337745710872/;NO TIENE;
RPT-70-2005;Restaurante;RESTAURANTE LEZAMA;BRASIL 359;SAN TELMO;1;4361-0114;NO TIENE;NO TIENE;NO TIENE;
RPT-02-G-2015;Restaurante;RESTAURANTE PUERTO CRISTAL;ALICIA M. DE JUSTO 1082;PUERTO MADERO;1;4331-3669;consultas@puerto-cristal.com.ar;NO TIENE;www.puerto-cristal.com.ar;
06-G-2011;Restaurante;RESTAURANTE VOLVER;AV. CORRIENTES 3190 1_PISO;BALVANERA;5;6311-4495;restaurantevolver@abastoplaza.com;NO TIENE;www.abastohotel.com;
RL-2018-33646960- -DGCCO;Bar Temático;SITGES;AV. CÓRDOBA 4119;PALERMO;14;4861-3763;sitgesbaires@hotmail.com;https://www.facebook.com/SitgesBuenosAires/;NO TIENE;
RPT-130-2005;Restaurante;SORRENTO RECOVA;POSADAS 1053;RETIRO;1;4326-0532;recova@sorrentorestaurant.com.ar;NO TIENE;www.sorrentorestaurant.com.ar;
11-G-2015;Tanguería;TANGO PORTEÑO;CERRITO 570;SAN NICOLÁS;1;4124 9400;info@tangoporteno.com.ar;NO TIENE;www.tangoporteno.com.ar;
RL-2019-27633846--DGTALET;Bar Temático / Restaurante Temático;TEATRO CIEGO;JORGE LUIS BORGES 1974;PALERMO;14;4774-6603;info@teatrociego.com;https://www.facebook.com/teatrociego/;http://teatrociego.org;
RL-2017-03299615- -DGDYCOF;Restaurante temático;THE ARGENTINE EXPERIENCE;FITZ ROY 2110;PALERMO;1;4778-0913;reservations@theargentineexperience.com;https://www.facebook.com/theargentineexperience/;www.theargentineexperience.com;
RPT-131-2005;Bar Temático;THE KILKENNY;MARCELO T. DE ALVEAR 399;RETIRO;1;4312-7291 / 9179 Fax;thekilkenny@thekilkenny.com.ar;Facebook: The Kilkenny;https://www.facebook.com/thekilkennyba/;
RL-2019-15959064--DGTALET;Bar Temático;THOMPSON & CO;HONDURAS 5490;PALERMO;14;2090-4539;;https://www.facebook.com/thompsonbistro/;https://www.thompsonbistro.com.ar/;
RL-2017-26013286- -DGCCO;Bar Temático;VERNE CLUB;MEDRANO 1475;PALERMO;14;4822-0980;info@vernecocktailclub.com;https://www.facebook.com/VerneClub/;www.vernecocktailclub.com;
RL-2018-02443539- -DGCCO;Restaurante;VIEJO MUNDO;AV. WARNES 2702;PATERNAL;15;4587-2542;viejomundobodegon@hotmail.com;NO TIENE;NO TIENE;
