id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,long,lat,geometry
75,Claridge Hotel,Tucuman 535,4319-8000,reservas@claridge.com.ar,,5 Estrellas,Tucuman,535,Tucuman 535,-58.374483063415944,-34.60093785607161,POINT (-58.374483063415944 -34.60093785607161)
80,Constitucion Palace Hotel,Lima 1697,4305-9010 al 20,info@cphotel.com.ar,,3 Estrellas,Lima,1697,Lima 1697,-58.38224954192178,-34.62771777120104,POINT (-58.38224954192178 -34.62771777120104)
81,Conte Hotel,"Pellegrini, Carlos 101",4000-9350,reservas@conte-hotel.com,,4 Estrellas,"Pellegrini, Carlos",101,"Pellegrini, Carlos 101",-58.38071577837544,-34.607217913806274,POINT (-58.38071577837544 -34.607217913806274)
84,Crisol Mundial Hotel,De Mayo Av. 1298,4383-0011,reservas@mundialhotel.com.ar,,2 Estrellas,De Mayo Av.,1298,De Mayo Av. 1298,-58.38477366222018,-34.609336198666334,POINT (-58.38477366222018 -34.609336198666334)
86,Cyan Americas Towers,Libertad 1070,4129-0700/1136825872,info@hotelescyan.com,,4 Estrellas,Libertad,1070,Libertad 1070,-58.384332800548385,-34.596011813506045,POINT (-58.384332800548385 -34.596011813506045)
87,Cyan Hotel de Las Americas,Libertad 1020,5236-9095 / 5236-5300/1136825872,info@hotelescyan.com,,4 Estrellas,Libertad,1020,Libertad 1020,-58.38427112605736,-34.59663992858855,POINT (-58.38427112605736 -34.59663992858855)
88,Da Vinci Hotel,Tucuman 857,5031-8002,info@davincihotel.com.ar,,4 Estrellas,Tucuman,857,Tucuman 857,-58.378991112675095,-34.60119796052426,POINT (-58.378991112675095 -34.60119796052426)
90,Dazzler By Wyndham Buenos Aires San Martín,San Martin 920,5256-7700,reservasweb@dazzlersanmartin.com,,4 Estrellas,San Martin,920,San Martin 920,-58.37434205572689,-34.597186294375234,POINT (-58.37434205572689 -34.597186294375234)
94,Dolmen Hotel,Suipacha 1079,4311-9000 / 4315-7117,reservas@hoteldolmen.com.ar,,4 Estrellas,Suipacha,1079,Suipacha 1079,-58.379894137181225,-34.59550970286226,POINT (-58.379894137181225 -34.59550970286226)
95,Draper Startup House,Chile 680,6434-4839,argentina@draperstartuphouse.com,,Registro de Prestadores,Chile,680,Chile 680,-58.37565400769469,-34.616238370359675,POINT (-58.37565400769469 -34.616238370359675)
96,Du Helder Hotel,Rivadavia 857,4345-3644/3650,hotelduhelder@hotmail.com,,1 Estrella,Rivadavia,857,Rivadavia 857,-58.37862031959273,-34.608203663580746,POINT (-58.37862031959273 -34.608203663580746)
97,Duomi Plaza Hotel,"Mitre, Bartolome 1480",6091-3888/3866,reservas@duomi.com.ar,,4 Estrellas,"Mitre, Bartolome",1480,"Mitre, Bartolome 1480",-58.387420976624554,-34.60773750539872,POINT (-58.387420976624554 -34.60773750539872)
100,El Cabildo,Lavalle 748,4322-6695 / 6745,reservas@hotelelcabildo.com,,1 Estrella,Lavalle,748,Lavalle 748,-58.377371618269784,-34.602392346579435,POINT (-58.377371618269784 -34.602392346579435)
101,El Conquistador,Suipacha 948,(5411) 4328-3012,reservas@elconquistador.com.ar,,4 Estrellas,Suipacha,948,Suipacha 948,-58.37993983351239,-34.597155743425795,POINT (-58.37993983351239 -34.597155743425795)
103,Embajador,"Pellegrini, Carlos 1185",4326-5302 al 11,reservas@525hotel.com,,3 Estrellas,"Pellegrini, Carlos",1185,"Pellegrini, Carlos 1185",-58.38151491771019,-34.59436811266863,POINT (-58.38151491771019 -34.59436811266863)
104,Emperador Buenos Aires,Del Libertador Av. 420,4131-4000/3000,"reservas@hotel-emperador.com.ar,info@hotel-emperador.com.ar",,5 Estrellas,Del Libertador Av.,420,Del Libertador Av. 420,-58.379742956431905,-34.58997957400042,POINT (-58.379742956431905 -34.58997957400042)
107,Esmeralda Palace Hotel,Esmeralda 527,5811-0317/22,reservasesmeralda@orho-hoteles.com.ar,,3 Estrellas,Esmeralda,527,Esmeralda 527,-58.378073399346725,-34.60205169053293,POINT (-58.378073399346725 -34.60205169053293)
109,Esplendor By Wyndham Buenos Aires,San Martin 780,5256-8800 / 5217 5799,frontdesk@esplendorbuenosaires.com,,4 Estrellas,San Martin,780,San Martin 780,-58.37424066364003,-34.59888374546711,POINT (-58.37424066364003 -34.59888374546711)
111,Esquel,Brasil 1319,4505-6362,,,Hospedaje A,Brasil,1319,Brasil 1319,-58.384624264540506,-34.62817443954299,POINT (-58.384624264540506 -34.62817443954299)
112,Estacion Buenos Aires Hostel,Solis 458,4381-0734,info@hostelestacionbuenosaires.com,,Registro de Prestadores,Solis,458,Solis 458,-58.39031381671051,-34.61435285883961,POINT (-58.39031381671051 -34.61435285883961)
114,Eurobuilding Hotel,Lima 187,5352-1111 / 5325-1104,buenosaires@hoteleuro.com,,4 Estrellas,Lima,187,Lima 187,-58.381942463947766,-34.61066494136162,POINT (-58.381942463947766 -34.61066494136162)
115,Europa,"Mitre, Bartolome 1294",4384-8360,info@eurohotel.com.ar,,Hospedaje A,"Mitre, Bartolome",1294,"Mitre, Bartolome 1294",-58.38479491899632,-34.60757375560416,POINT (-58.38479491899632 -34.60757375560416)
117,Europlaza Hotel & Suites,Montevideo 327,4371-8215 / 5032-7679/7699,info@europlaza.com.ar,,3 Estrellas,Montevideo,327,Montevideo 327,-58.38929105975527,-34.60510131353048,POINT (-58.38929105975527 -34.60510131353048)
118,Exe Hotel Colon,"Pellegrini, Carlos 507",4320-3500,reservas@execolon.com.ar,,4 Estrellas,"Pellegrini, Carlos",507,"Pellegrini, Carlos 507",-58.38098200981172,-34.60241173916993,POINT (-58.38098200981172 -34.60241173916993)
119,Facon Grande,Reconquista 645,4312-6360/69,reservas@hotelfacongrande.com,,4 Estrellas,Reconquista,645,Reconquista 645,-58.37256553613704,-34.600317231790434,POINT (-58.37256553613704 -34.600317231790434)
120,Faena Hotel Buenos Aires,Salotti Martha 445,4010-9000,info@faenahotels.com,,Registro de Prestadores,Salotti Martha,445,Salotti Martha 445,-58.361814763443064,-34.613506391593006,POINT (-58.361814763443064 -34.613506391593006)
122,Feir'S Park Hotel & Rooftop,Esmeralda 1366,4131-1900,feirspark@feirspark.com.ar,,5 Estrellas,Esmeralda,1366,Esmeralda 1366,-58.378178648694394,-34.59150583031322,POINT (-58.378178648694394 -34.59150583031322)
125,Four Seasons Hotel Buenos Aires,Posadas 1086,4321-1200,reservations.bue@fourseasons.com,,5 Estrellas,Posadas,1086,Posadas 1086,-58.38256542428228,-34.59015508658921,POINT (-58.38256542428228 -34.59015508658921)
126,Frossard Hotel,Tucuman 686,4322-1811,reservas@hotelfrossard.com.ar,,1 Estrella,Tucuman,686,Tucuman 686,-58.3765210732128,-34.6011692109957,POINT (-58.3765210732128 -34.6011692109957)
128,Gran Hotel Ailen,Suipacha 18,4345-4980 / 4343-2037,reservas@granhotelailen.com.ar,,3 Estrellas,Suipacha,18,Suipacha 18,-58.379302465573176,-34.60808904557884,POINT (-58.379302465573176 -34.60808904557884)
129,Gran Hotel América,"Irigoyen, Bernardo De 1608",4307-8785/9671,info@granhotelamerica.com.ar,,Hospedaje A,"Irigoyen, Bernardo De",1608,"Irigoyen, Bernardo De 1608",-58.378391389741935,-34.627564444292574,POINT (-58.378391389741935 -34.627564444292574)
130,Gran Hotel Argentino,"Pellegrini, Carlos 37",4334-4001 / 02,info@hotel-argentino.com.ar,,3 Estrellas,"Pellegrini, Carlos",37,"Pellegrini, Carlos 37",-58.380676543453106,-34.607952107820026,POINT (-58.380676543453106 -34.607952107820026)
132,Gran Hotel Buenos Aires,"Alvear, Marcelo T. De 767",4312-3003,reservas@granhotelbue.com.ar,,4 Estrellas,"Alvear, Marcelo T. De",767,"Alvear, Marcelo T. De 767",-58.37795100804429,-34.596277325641836,POINT (-58.37795100804429 -34.596277325641836)
133,Gran Hotel de la Paix,Rivadavia 1155,4381-8061 / 63,reservas@granhoteldelapaix.com.ar,,3 Estrellas,Rivadavia,1155,Rivadavia 1155,-58.38280266096139,-34.608467641716835,POINT (-58.38280266096139 -34.608467641716835)
134,Gran Hotel Dora,Maipu 963,4312-7391,reservas@dorahotel.com.ar,,4 Estrellas,Maipu,963,Maipu 963,-58.376877993020926,-34.59676659206172,POINT (-58.376877993020926 -34.59676659206172)
135,Gran Hotel España,Tacuari 80,4343-5541,,,Hospedaje A,Tacuari,80,Tacuari 80,-58.37911251372499,-34.60923833109598,POINT (-58.37911251372499 -34.60923833109598)
136,Gran Hotel Libertad,Libertad 249,4381-2631/4382-7789,info@granhotellibertad.com.ar,,2 Estrellas,Libertad,249,Libertad 249,-58.383539617256325,-34.605675895682204,POINT (-58.383539617256325 -34.605675895682204)
139,Gran Vedra,De Mayo Av. 1350,4383-0584,info@hotelvedra.com.ar,,2 Estrellas,De Mayo Av.,1350,De Mayo Av. 1350,-58.38553579112819,-34.60938848303285,POINT (-58.38553579112819 -34.60938848303285)
140,Granados Hostel,Chile Av. 374,4362-5600,info@granadoshostel.com,,Registro de Prestadores,Chile Av.,374,Chile Av. 374,-58.3713976292833,-34.61601013889568,POINT (-58.3713976292833 -34.61601013889568)
141,Grand Brizo,Cerrito 180,3985-7800,reservas.ba@grandbrizohoteles.com,,Registro de Prestadores,Cerrito,180,Cerrito 180,-58.38213925978213,-34.606406816089724,POINT (-58.38213925978213 -34.606406816089724)
142,Grand King Hotel,Lavalle 560,4393-4012,reservas@grandking.com.ar,,4 Estrellas,Lavalle,560,Lavalle 560,-58.37470648552268,-34.60223708819122,POINT (-58.37470648552268 -34.60223708819122)
145,Hilton Buenos Aires,"Guemes, Macacha 351",4891-0000,reservations.buenosaires@hilton.com,,5 Estrellas,"Guemes, Macacha",351,"Guemes, Macacha 351",-58.363718307911576,-34.6054207531551,POINT (-58.363718307911576 -34.6054207531551)
147,Holiday Inn Express Puerto Madero,"Alem, Leandro N. Av. 770",4311-5200,reservas.arg@talbot.cl,,3 Estrellas,"Alem, Leandro N. Av.",770,"Alem, Leandro N. Av. 770",-58.37119194416087,-34.59876718091612,POINT (-58.37119194416087 -34.59876718091612)
149,Hostel Colonial Buenos Aires,Tucuman 509,4312-6417,info@hostelcolonial.com.ar,,Registro de Prestadores,Tucuman,509,Tucuman 509,-58.3741497387309,-34.60091572064846,POINT (-58.3741497387309 -34.60091572064846)
150,Hostel Recoleta,Libertad 1216,4812-4419,hotelesenba@gmail.com,,Registro de Prestadores,Libertad,1216,Libertad 1216,-58.38449640964057,-34.594168597913544,POINT (-58.38449640964057 -34.594168597913544)
151,Hotel A&B,Montevideo 248,4325-8960/4382-4118,recepcion@hotelayb.com,,2 Estrellas,Montevideo,248,Montevideo 248,-58.38939721050388,-34.60607306677306,POINT (-58.38939721050388 -34.60607306677306)
152,Hotel Adrazi,Santiago Del Estero 349,4382-6005,reservas@jcv.com.ar,,Registro de Prestadores,Santiago Del Estero,349,Santiago Del Estero 349,-58.384784736560846,-34.612735651889665,POINT (-58.384784736560846 -34.612735651889665)
153,Hotel Anselmo Buenos Aires Curio Collection By Hilton,Don Anselmo Aieta 1069,4834-3200,info@anselmohotel.com,,Registro de Prestadores,Don Anselmo Aieta,1069,Don Anselmo Aieta 1069,-58.37217911311235,-34.62041702790059,POINT (-58.37217911311235 -34.62041702790059)
155,Hotel Avenida,De Mayo Av. 623,4342-5664,hotelavenidabsas@gmail.com,,2 Estrellas,De Mayo Av.,623,De Mayo Av. 623,-58.37529060748157,-34.60856988200843,POINT (-58.37529060748157 -34.60856988200843)
157,Hotel Central,Solis 192,4373-8785,,,2 Estrellas,Solis,192,Solis 192,-58.390300938256644,-34.611259727696144,POINT (-58.390300938256644 -34.611259727696144)
158,Hotel Design Suites Buenos Aires,Tacuari 243,3724-0700 / 4896-6340,reservas.bsas@gruposolanas.com,,Registro de Prestadores,Tacuari,243,Tacuari 243,-58.37916560086678,-34.611112614707174,POINT (-58.37916560086678 -34.611112614707174)
160,Hotel El Plata,"Calvo, Carlos 1274",6793-3468,tatin.lemeja@gmail.com,,Registro de Prestadores,"Calvo, Carlos",1274,"Calvo, Carlos 1274",-58.38396711942037,-34.61984383207006,POINT (-58.38396711942037 -34.61984383207006)
161,Hotel Globales Republica Wellness & Spa,Cerrito 370,4382-5050,res.republica@hotelesglobales.com,,4 Estrellas,Cerrito,370,Cerrito 370,-58.38225552269358,-34.604145743013866,POINT (-58.38225552269358 -34.604145743013866)
163,Hotel Huinid Obelisco,Sarmiento 1431,4371-4999,reservas@huinid.com,,Registro de Prestadores,Sarmiento,1431,Sarmiento 1431,-58.38693791510671,-34.605248226239965,POINT (-58.38693791510671 -34.605248226239965)
164,Hotel Impala,Libertad 1215,5254-6835,reservas@525hotel.com,,3 Estrellas,Libertad,1215,Libertad 1215,-58.38436359124264,-34.59416482181725,POINT (-58.38436359124264 -34.59416482181725)
166,Hotel Madero Buenos Aires,"Vera Peñaloza,  Rosario 360",5776-7777,info@hotelmadero.com,,4 Estrellas,"Vera Peñaloza,  Rosario",360,"Vera Peñaloza,  Rosario 360",-58.36233983721134,-34.61747346326601,POINT (-58.36233983721134 -34.61747346326601)
172,Hotel Parada,Rivadavia 1291,4381-6399,info@hostelparada.com,,Registro de Prestadores,Rivadavia,1291,Rivadavia 1291,-58.38473039897362,-34.608619063481825,POINT (-58.38473039897362 -34.608619063481825)
174,Hotel Plaza Garay,"Saenz Peña, Luis, Pres. 1572",4305-3661,hotelplazagaray@gmail.com,,Hospedaje B,"Saenz Peña, Luis, Pres.",1572,"Saenz Peña, Luis, Pres. 1572",-58.3871316821008,-34.62683250880662,POINT (-58.3871316821008 -34.62683250880662)
176,Hotel San Martin,Callao Av. 327,4371-6450,hotelsanmartin1@yahoo.com.ar,,Hospedaje A,Callao Av.,327,Callao Av. 327,-58.39215959500355,-34.6053035641001,POINT (-58.39215959500355 -34.6053035641001)
177,Hotel Sheltown,"Alvear, Marcelo T. De 742",5254-6835,reservas@525hotel.com,,4 Estrellas,"Alvear, Marcelo T. De",742,"Alvear, Marcelo T. De 742",-58.37757161062993,-34.596365422850965,POINT (-58.37757161062993 -34.596365422850965)
178,Hotel Siena,"Peron, Juan Domingo, Tte. General 1554",4371-0720 / 7422 / 6346,info@sienahotel.com.ar,,1 Estrella,"Peron, Juan Domingo, Tte. General",1554,"Peron, Juan Domingo, Tte. General 1554",-58.388604097502395,-34.60663843752528,POINT (-58.388604097502395 -34.60663843752528)
179,Hotel Uthgra de las Luces,"Alsina, Adolfo 525",4343-6776,reservas@uthgradelasluces.com.ar,,3 Estrellas,"Alsina, Adolfo",525,"Alsina, Adolfo 525",-58.37380253727463,-34.61021317078794,POINT (-58.37380253727463 -34.61021317078794)
181,Howard Johnson Plaza Buenos Aires,Lima 653,2205-8900,administracion.florencia@hjplazabuenosaires.com.ar,,Registro de Prestadores,Lima,653,Lima 653,-58.38166129011559,-34.615926198712536,POINT (-58.38166129011559 -34.615926198712536)
182,Howard Johnson Plaza Buenos Aires Florida Street,Florida 944,4891-9200,reservas@hjFlorida.com.ar,,4 Estrellas,Florida,944,Florida 944,-58.375481836934824,-34.59695572383406,POINT (-58.375481836934824 -34.59695572383406)
183,Hr Esmeralda Luxor,Esmeralda 675,7700-3018,reservas@hresmeraldaluxor.com,,4 Estrellas,Esmeralda,675,Esmeralda 675,-58.378139861248755,-34.60037203723932,POINT (-58.378139861248755 -34.60037203723932)
184,Hr Luxor,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 890",4328-9400,reservas@hrluxor.com,,4 Estrellas,"Saenz Peña, Roque, Pres. Diagonal Norte Av.",890,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 890",-58.37924336529547,-34.605046496219764,POINT (-58.37924336529547 -34.605046496219764)
185,Hr Plaza Luxor,Reconquista 602,5263-0277,,,4 Estrellas,Reconquista,602,Reconquista 602,-58.37266686153925,-34.600820206656245,POINT (-58.37266686153925 -34.600820206656245)
186,Htl 9 de Julio,"Alsina, Adolfo 1112",7078-0731,reservas.9dejulio@htlhoteles.com,,Registro de Prestadores,"Alsina, Adolfo",1112,"Alsina, Adolfo 1112",-58.382050967520165,-34.61090011037493,POINT (-58.382050967520165 -34.61090011037493)
187,Htl City Bs. As.,Piedras 303,5277-6050 / 52175799,reservas.citybaires@htlhoteles.com,,Registro de Prestadores,Piedras,303,Piedras 303,-58.37771702839591,-34.6117145050292,POINT (-58.37771702839591 -34.6117145050292)
188,Htl Urbano,Tucuman 451,7078-0852,reservas.urbano@htlhoteles.com,,Registro de Prestadores,Tucuman,451,Tucuman 451,-58.37331964719456,-34.60085261896471,POINT (-58.37331964719456 -34.60085261896471)
191,Ibis Buenos Aires Obelisco,Corrientes Av. 1344,4370-9300,h6502-re@accor.com,,3 Estrellas,Corrientes Av.,1344,Corrientes Av. 1344,-58.38573668725173,-34.604000005552365,POINT (-58.38573668725173 -34.604000005552365)
192,Ibis Congreso,"Yrigoyen, Hipolito Av. 1592",5300-5555,h3251@accor.com,,3 Estrellas,"Yrigoyen, Hipolito Av.",1592,"Yrigoyen, Hipolito Av. 1592",-58.38889225574772,-34.610121001963094,POINT (-58.38889225574772 -34.610121001963094)
193,Icaro Suites,Montevideo 229,4372-9000,resevas@icarosuites.com,,Apart 2 Estrellas,Montevideo,229,Montevideo 229,-58.389258302331605,-34.60627433065453,POINT (-58.389258302331605 -34.60627433065453)
196,Imperial Park,Lima 107,4383-0555,info@imperialparkhotel.com,,3 Estrellas,Lima,107,Lima 107,-58.381982315711596,-34.609779746427705,POINT (-58.381982315711596 -34.609779746427705)
198,Intercontinental Buenos Aires,Moreno 809,4340-7100,"andrea.hernandez@ihg.com,valeria.bulacio@ihg.com",,5 Estrellas,Moreno,809,Moreno 809,-58.3778086041856,-34.61160693480829,POINT (-58.3778086041856 -34.61160693480829)
199,Internacional,"Irigoyen, Bernardo De 552",4334-4949,info@hotel-internacional.com.ar,,2 Estrellas,"Irigoyen, Bernardo De",552,"Irigoyen, Bernardo De 552",-58.38033538246348,-34.61472110387811,POINT (-58.38033538246348 -34.61472110387811)
202,Irun,Santiago Del Estero 1671,4306-0018/ 4304-2746 / 0-810-222-4441,info@hotelirun.com.ar,,3 Estrellas,Santiago Del Estero,1671,Santiago Del Estero 1671,-58.384410342176174,-34.62780666266061,POINT (-58.384410342176174 -34.62780666266061)
205,Kenton Palace,Defensa 383,4331-2020,reservas1@kentonpalace.com.ar,,Registro de Prestadores,Defensa,383,Defensa 383,-58.372009444094104,-34.6122554379498,POINT (-58.372009444094104 -34.6122554379498)
207,Ker Recoleta,"Alvear, Marcelo T. De 1368",5277-4600,reservasrecoleta@kerhoteles.com.ar,,4 Estrellas,"Alvear, Marcelo T. De",1368,"Alvear, Marcelo T. De 1368",-58.38658952710742,-34.597076500938556,POINT (-58.38658952710742 -34.597076500938556)
210,King'S Hotel,Corrientes Av. 623,4322-8461 / 8161,reservas@kingshotel.com.ar,,2 Estrellas,Corrientes Av.,623,Corrientes Av. 623,-58.37557695463343,-34.603281401036824,POINT (-58.37557695463343 -34.603281401036824)
215,La Fresque,De Mayo Av. 984,4331-3615,info@lafresquehotel.com,,1 Estrella,De Mayo Av.,984,De Mayo Av. 984,-58.380409804785465,-34.60903688594272,POINT (-58.380409804785465 -34.60903688594272)
